name	album_name	release_date	popularity	duration	danceability
All You Had To Do Was Stay	1989 (Deluxe Edition)	2014-10-27	58	193293	0.605
Shake It Off	1989 (Deluxe Edition)	2014-10-27	58	219200	0.647
I Wish You Would	1989 (Deluxe Edition)	2014-10-27	60	207440	0.653
Bad Blood	1989 (Deluxe Edition)	2014-10-27	57	211933	0.646
Wildest Dreams	1989 (Deluxe Edition)	2014-10-27	57	220440	0.55
How You Get The Girl	1989 (Deluxe Edition)	2014-10-27	62	247533	0.765
This Love	1989 (Deluxe Edition)	2014-10-27	56	250093	0.481
I Know Places	1989 (Deluxe Edition)	2014-10-27	60	195706	0.602
Clean	1989 (Deluxe Edition)	2014-10-27	65	271000	0.815
Wonderland	1989 (Deluxe Edition)	2014-10-27	64	245560	0.422
You Are In Love	1989 (Deluxe Edition)	2014-10-27	63	267106	0.474
New Romantics	1989 (Deluxe Edition)	2014-10-27	68	230466	0.633
I Know Places - Voice Memo	1989 (Deluxe Edition)	2014-10-27	44	216333	0.592
I Wish You Would - Voice Memo	1989 (Deluxe Edition)	2014-10-27	41	107133	0.781
Blank Space - Voice Memo	1989 (Deluxe Edition)	2014-10-27	41	131186	0.675
State Of Grace	Red (Deluxe Edition)	2012-10-22	48	295186	0.588
Red	Red (Deluxe Edition)	2012-10-22	53	220826	0.602
Treacherous	Red (Deluxe Edition)	2012-10-22	47	240773	0.705
I Knew You Were Trouble.	Red (Deluxe Edition)	2012-10-22	53	217973	0.622
All Too Well	Red (Deluxe Edition)	2012-10-22	63	327893	0.602
22	Red (Deluxe Edition)	2012-10-22	57	230133	0.658
I Almost Do	Red (Deluxe Edition)	2012-10-22	48	242573	0.567
We Are Never Ever Getting Back Together	Red (Deluxe Edition)	2012-10-22	52	191880	0.628
Stay Stay Stay	Red (Deluxe Edition)	2012-10-22	48	204826	0.729
The Last Time	Red (Deluxe Edition)	2012-10-22	49	298293	0.505
Holy Ground	Red (Deluxe Edition)	2012-10-22	47	201853	0.627
Sad Beautiful Tragic	Red (Deluxe Edition)	2012-10-22	45	283680	0.624
The Lucky One	Red (Deluxe Edition)	2012-10-22	45	240133	0.706
Everything Has Changed	Red (Deluxe Edition)	2012-10-22	49	243933	0.624
Starlight	Red (Deluxe Edition)	2012-10-22	45	217826	0.649
Begin Again	Red (Deluxe Edition)	2012-10-22	46	237613	0.53
The Moment I Knew	Red (Deluxe Edition)	2012-10-22	43	285560	0.62
Come Back...Be Here	Red (Deluxe Edition)	2012-10-22	49	222706	0.483
Girl At Home	Red (Deluxe Edition)	2012-10-22	40	220320	0.733
Treacherous - Original Demo Recording	Red (Deluxe Edition)	2012-10-22	38	239720	0.828
